language,real_value,language_family,simulated_mean,simulated_sd,zscore
Casiguran_Dumagat_Agta,0.88654,Austronesian,0.10768433,0.05228935214074084,14.895110344906353
Cayubaba,0,Other,0,0,NA
Cebuano,0.88654,Austronesian,0.14862951,0.052940813051429864,13.9384049369085
Central_Aymara,0,Other,0,0,NA
Central_Cagayan_Agta,0.88654,Austronesian,0.19322408,0.05003393009863122,13.856915070098943
Central_Kurdish,1.9183,Indo-European,0.27655642,0.09497033671646973,17.286909120911744
Central_Melanau,0.88654,Austronesian,0.19409843,0.049266665405274336,14.054971334144106
Central_Sama,0.88654,Austronesian,0.110356,0.05519501236878555,14.062574980759592
Central_Subanen_(Subanung),0,Austronesian,0,0,NA
Central_Tagbanwa,0.62925,Austronesian,0.05617298,0.043411696164553204,13.200982007884143
Cha_palaa,0,Other,0,0,NA
Chamalal,0.91829,Nakh-Daghestanian,0.30718304,0.04332759177669084,14.104337096546416
Chamalal_Gigatli_,0.91829,Nakh-Daghestanian,0.30804007,0.043018341478940104,14.185807937266752
Chamarro,0.88654,Austronesian,0.14990444,0.07395105930856744,9.961122489487567
Chavacano,0.88654,Indo-European,0.23824876,0.0737396857541278,8.791619239626472
Cheke_Holo,0,Austronesian,0,0,NA
Chemehuevi,1,Uto-Aztecan,0.26580519,0.24516304117325927,2.994720600978093
Chenchu,1.52193,Dravidian,0.58227173,0.16152791918483717,5.81731179812169
Chepang,0,Sino-Tibetan,0,0,NA
Chimariko,0.84535,Other,0.14276964,0.050653510897435694,13.870319106262933
Chipaya,0,Other,0,0,NA
Chiricahua,0.15835,Other,0.09092879,0.06000945317286274,1.1235098211241321
Chiriguano,1.00163,Tupian,0.48208169,0.04989720739429863,10.412372498012079
Chokwe,0.94566,Atlantic-Congo,0.19020347,0.08527500658931612,8.859061525943629
Chuukese_(Trukese),0,Austronesian,0,0,NA
Cinta_Larga,0.92193,Tupian,0.37708144,0.08260960934590288,6.595462250869758
Cocama_Cocamilla,0.6175,Tupian,0.19248657,0.06339207120000202,6.704520328087757
Cocopa,1.12068,Other,0.72619002,0.10373470655640736,3.8028736292369985
Cofan,0,Other,0,0,NA
Colloquial_Malay,0.31669,Austronesian,0.04999851,0.040973643962668,6.508854575955914
Colorado_Ute,0,Uto-Aztecan,0,0,NA
Comanche,0.62612,Uto-Aztecan,0.46575567,0.0980374795736419,1.6357451323454377
Copper_Inuit,0.9183,Other,0.17883816,0.067045816135503,11.029201859598667
Cora,0,Uto-Aztecan,0,0,NA
Cornish,0.72193,Indo-European,0.10856346,0.11163420948058331,5.494431705602605
Cotabato_Manobo,0,Austronesian,0,0,NA
Cruzeño,0,Other,0,0,NA
Cubeo,0.5,Other,0.16047851,0.09460112273806905,3.5889794980559038
Cupeño,1.58419,Uto-Aztecan,0.77242635,0.09950666444035568,8.1578822339741
Cusco_Quechua,1.19818,Other,0.6903382,0.14617405887519183,3.4742265755486197
Czech,0.9183,Indo-European,0.14426557,0.07220347910502631,10.720181902510525
Daakie,0.54356,Austronesian,0.20919096,0.1225156089055754,2.7291954305814468
Dakaka,0.83858,Austronesian,0.24609218,0.08242716743270133,7.188016262766083
Dalabon,0,Other,0,0,NA
Dampelas,0.88654,Austronesian,0.10651737,0.05253309457483643,14.84821399372947
Dandami_Maria,1.26346,Dravidian,0.48253311,0.13760104903278472,5.675297503102152
Danish,0.91829,Indo-European,0.30739671,0.04197054534017937,14.55528597611949
Dargwa_Chirag_,0.9183,Nakh-Daghestanian,0.19653425,0.05057954436870746,14.269914033597777
Dargwa_Itsari_,0.9183,Nakh-Daghestanian,0.19448721,0.050772703949881204,14.255943325659604
Dari,2.25163,Indo-European,0.81275644,0.1199396954977062,11.996641762589084
Daribi,0.93211,Other,0.09572391,0.060297265312915446,13.87104515701559
De_kwana_Maquiritari_,0.17095,Cariban,0.12358261,0.03419735891329248,1.3851183689389632
Degexit_an,0,Other,0,0,NA
Dehong,0,Tai-Kadai,0,0,NA
Dehu,0,Austronesian,0,0,NA
DeneTha_South_Slavey_,0.9183,Other,0.25182726,0.04615780223320213,14.439005059920168
Dene_Suliné,0.88654,Other,0.19321402,0.048812956224090084,14.203728551433871
Dharumbal,0,Pama-Nyungan,0,0,NA
Dhuwal,0.98523,Pama-Nyungan,0.18802784,0.07225180294472355,11.033664593946561
Dhuwal-Dhuwala_(Yolngu),1.40299,Pama-Nyungan,0.23690621,0.08375488948502378,13.922575710741134
Digo,1.58497,Atlantic-Congo,0.357052,0.09408557725521721,13.05107579527456
Ding,0.91829,Atlantic-Congo,0.23971375,0.051672057634447634,13.132363622919117
Diyari,1.54644,Pama-Nyungan,0.4943077,0.11421618744549558,9.211761690978188
Diyari,1.86293,Pama-Nyungan,1.00228198,0.09969327647566838,8.632959517686771
Djambarrpuyngu,1.5,Pama-Nyungan,0.29619691,0.11323765792935328,10.630766407682406
Djinang,1,Pama-Nyungan,0.22337699,0.09337257991894955,8.317463335318935
Djinang,1.53012,Pama-Nyungan,0.36386458,0.10896039310542749,10.703480290049605
Dobu,0.96123,Austronesian,0.13117167,0.09654918861457736,8.59725847426412
Dogrib,0,Other,0,0,NA
Dondo,0.88654,Austronesian,0.18217396,0.05423838738185515,12.986485660811477
Doutai,0.07834,Other,0.09295536,0.05523419326989919,-0.26460710539543414
Duala,1.52193,Atlantic-Congo,0.40913615,0.1059546567072701,10.502547831138841
Duna,0.93211,Other,0.1487529,0.06655119046374859,11.770745114269685
Dupaningan_Agat,0,Austronesian,0,0,NA
Dutch,0.9183,Indo-European,0.14700475,0.07274327013193033,10.60297741084702
Duungidjawu,0.7642,Pama-Nyungan,0.28821556,0.14651651687985556,3.24867428011758
Dyirbal,1.58496,Pama-Nyungan,1.05588074,0.11171995770766566,4.735763160458994
Dzonghka_Lhop,0,Sino-Tibetan,0,0,NA
Dzonghka_Wang,0,Sino-Tibetan,0,0,NA
Délįne,0.79186,Other,0.33345111,0.08297520344810945,5.524649183736887
East_Ambae_(Lolovoli),0,Austronesian,0,0,NA
East_Futuna,7.3e-4,Austronesian,0.04672494,0.04062653278539239,-1.13214042268795
East_Kewa,0.99679,Nuclear Trans New Guinea,0.22982444999999999,0.08544862364708211,8.975750775901354
Easter_Islanders,0,Austronesian,0,0,NA
Eastern_Armenian,0.91829,Indo-European,0.30765449,0.04312467675339707,14.159770135596398
Eastern_Pahari_Nepali_,0,Indo-European,0,0,NA
Eastern_Yiddish,0.91829,Indo-European,0.30848137,0.041842579424265613,14.57387757616004
Edopi,0.46606,Other,0.20549328,0.061563418231169606,4.2324927284183005
Eipo,1.72667,Other,0.78963846,0.09254755796407334,10.124865103018196
Ekari,0,Other,0,0,NA
Ekonda_Mongo,0.38454,Atlantic-Congo,0.18403096,0.020828843361891076,9.6265086119403
Elamite,0,Other,0,0,NA
Ellice,0.58497,Austronesian,0.23940966,0.06322522589975045,5.465545359188095
Emae_(Mae),0,Austronesian,0,0,NA
Emau_(Emao_Island),0.98247,Austronesian,0.17993124,0.088478065691848,9.070482652673345
Emerillon,0.31128,Tupian,0.39839392,0.19247054791746515,-0.45260909236542535
Ende_(Papua_New_Guinea),0.88654,Other,0.37488064,0.05631724255322875,9.085305615174617
English,0.88654,Indo-European,0.1067499,0.05205410106060067,14.980377801398955
Epena,0,Other,0,0,NA
Erave_(South_Kewa),0.99679,Nuclear Trans New Guinea,0.23169655,0.0827388024147227,9.247093596605621
ErzyaMordvin,0.91829,Uralic,0.23791634,0.05505496043839531,12.358080990019342
Estonian,0,Uralic,0,0,NA
Eudeve,0,Uto-Aztecan,0,0,NA
Eyak,0,Other,0,0,NA
Fang_EG,0.25163,Atlantic-Congo,0.29076584,0.07324881011236481,-0.5342863582352395
Fefe,0.98523,Atlantic-Congo,0.40133954,0.09537228480170062,6.12222367550524
Fijian,0.93211,Austronesian,0.35262146,0.07807434308988656,7.422265971970306
Finnish,0,Uralic,0,0,NA
Fipa,1.12193,Atlantic-Congo,0.17437178,0.07668691062295112,12.35619237106693
Foi,0.4138,Other,0.30197482,0.17632388276862043,0.634203252810294
Fordata,0.04411,Austronesian,0.07396983,0.04171019911462041,-0.7158879754552269
Fore,0,Other,0,0,NA
ForestEnets,0.9183,Uralic,0.28677104,0.04569323080785665,13.8210616503706
Fortsenal_(Kiai),0.94566,Austronesian,0.16637441,0.09615123671786169,8.104790084881298
Frisian,0.88654,Indo-European,0.24110018,0.07474375437979007,8.635367936167254
Futuna-Aniwa,0.99679,Austronesian,0.15998576,0.09490762298215313,8.81703928205384
Ga'dang,0.88654,Austronesian,0.0503664,0.047012810556234526,17.786079796267618
Gabrielino,0.61752,Uto-Aztecan,0.39248399,0.12750899464938303,1.764863809167276
Galeia_A,1.04644,Other,0.27405468,0.1203089363449867,6.4200161971774055
Galibi_Carib,0.67769,Cariban,0.61315708,0.07738400343780141,0.833931008129727
Ganda,1.18201,Atlantic-Congo,0.51737414,0.12690910494041466,5.237101469686154
Gane_(Gimán),1.60694,Austronesian,0.6282711,0.10972133790462811,8.919585913641317
Ganggalida,0,Other,0,0,NA
Gayo,0,Austronesian,0,0,NA
Gela,0.26216,Austronesian,0.06484763,0.04268916447820157,4.622071488439506
German,0.88654,Indo-European,0.15139017,0.07520378395527909,9.775436704583461
Gimi,0.62914,Other,0.16822336,0.07062137411146707,6.526588384877648
Giryama,1.82307,Atlantic-Congo,0.7306932,0.10968953004348757,9.958806456431306
Godoberi,0.91829,Nakh-Daghestanian,0.3094485,0.04383089003512559,13.89069442833767
Gogo,1.28247,Atlantic-Congo,0.43590983,0.09939739120947969,8.516925441391889
Gondi,0,Dravidian,0,0,NA
Gothic,0,Indo-European,0,0,NA
Grand_Valley_Dani,0,Other,0,0,NA
Guajá,1.34948,Tupian,0.77964258,0.10606905536417985,5.372324831625091
Guarayu,0.34975,Tupian,0.41160838,0.0708212159964146,-0.8734441950718784
Guarijio,0,Uto-Aztecan,0,0,NA
Gui_(Gwi),1.4749,Other,0.4110768,0.09892575790833112,10.753753344864789
Gujarati,2.25163,Indo-European,1.06441478,0.10664402954685082,11.132505261144818
Gumatj,0.77995,Pama-Nyungan,0.11381208,0.06404083043837608,10.401768925232751
Gumbaynggir,1.39215,Pama-Nyungan,0.41330916,0.09217582486630746,10.619279419736339
Gunya,0,Pama-Nyungan,0,0,NA
Gupapuyngu,1.40854,Pama-Nyungan,0.43012285,0.0995361355622176,9.829768299457589
Gurindji,1,Pama-Nyungan,0.22548813,0.08659443482433295,8.944129857434707
Gusii,0.91829,Atlantic-Congo,0.11371494,0.09638810380306873,8.347244403145782
Guugu_Yimidhirr,1.01014,Pama-Nyungan,0.49558069,0.10654187626291138,4.8296437799746625
Guugu_Yimidhirr,1.5,Pama-Nyungan,0.85921592,0.13200911487683026,4.854089663413598
Gününa_Küne,0.91829,Other,0.24136123,0.05150589490919945,13.142743586794646
Ha,1.52193,Atlantic-Congo,0.5822919,0.10269787615504401,9.149537801360362
Hanunoo,0.88654,Austronesian,0.10335443,0.05271794131613745,14.856148598508714
Hausa,0.58496,Afro-Asiatic,0.25113801,0.045734704927163077,7.299095742098778
Hawaiians,0.31669,Austronesian,0.19566612,0.07734734812653765,1.5646804050994618
Haya,1.91829,Atlantic-Congo,0.44365842,0.10484723912080306,14.064572347021524
Hehe,1.45656,Atlantic-Congo,0.63307343,0.11678798637658326,7.0511239687330916
Herero,0.94566,Atlantic-Congo,0.34863468,0.04812813759045249,12.404912175916735
Hewa,0.93211,Other,0.09366668,0.053090974109631005,15.792577440162312
Highland_Puebla_Nahuatl,0,Uto-Aztecan,0,0,NA
Hiligaynon,0.88654,Austronesian,0.04953032,0.04787435449503122,17.48346664573559
HillMari,0.91829,Uralic,0.33333099,0.051929654631530625,11.264450228883765
Hindi,2.25163,Indo-European,1.06391895,0.10778792001842971,11.018962512653772
Hinuq,0.91829,Nakh-Daghestanian,0.30877795,0.0427144982020643,14.269441891056642
Hittite,0.91829,Indo-European,0.14987906,0.0896763994902892,8.568708649851727
Hiw,0,Austronesian,0,0,NA
Hopi,0,Uto-Aztecan,0,0,NA
Hoti_Yuwana_,0,Other,0,0,NA
Huastec_Nahuatl,0,Uto-Aztecan,0,0,NA
Huichol,0,Uto-Aztecan,0,0,NA
Huli,0.94067,Other,0.27550733,0.09809997511971953,6.780457071352433
Hungarian,0.9183,Uralic,0.114339,0.042784866282165504,18.79077977474302
Hunza,0,Other,0,0,NA
Hunzib,0.9183,Nakh-Daghestanian,0.1922773,0.047316617381110315,15.343926514278722
Hupa,0,Other,0,0,NA
I'saka_(Krisa),0,Other,0,0,NA
Iau,0.00119,Other,0.1600497,0.06461558089504732,-2.4585355079919484
Ibaloi_(Nabaloi),0.88654,Austronesian,0.050869160000000004,0.04833707478626829,17.288403232820357
Iban,0.88654,Austronesian,0.05023466,0.04758056075800753,17.576617985933567
Ibanag,0.88654,Austronesian,0.04947167,0.047016412118744445,17.8037475059965
Icelandic,0.91829,Indo-European,0.1744169,0.05854827753394793,12.705294354196528
Ida'an,0.88654,Austronesian,0.10664032,0.05335199264147888,14.618004715228977
Idi,0,Other,0,0,NA
Ifaluk_Nuclear_Woleaian_,0,Austronesian,0.01199476,0.016366694401375864,-0.7328761511543628
Ifugaw_(Ifugao),0,Austronesian,0,0,NA
Igbo,1.52193,Atlantic-Congo,0.83995959,0.17317325440891407,3.9380816184793934
Ignaciano,0,Arawakan,0,0,NA
Ili'uun,0.93211,Austronesian,0.09673994,0.051145133675600994,16.333324403813553
Ilokano,0.88654,Austronesian,0.10400874,0.051413255238572736,15.22041847707995
Inanwatan_(Suabo),0.4984,Other,0.2387891,0.08762273998085059,2.962825632441263
Indonesian,0.88654,Austronesian,0.10649246,0.053337264790798596,14.624813309410062
Indonesian_Bajau,0.88654,Austronesian,0.23015924,0.05648547747330979,11.620345429675254
Ingrian,0.9183,Uralic,0.13640188,0.0597165335769588,13.093494768786945
Ingush,0.91829,Nakh-Daghestanian,0.3069649,0.042420398840980124,14.411111557240497
Inxokvari,0.91829,Nakh-Daghestanian,0.30692368999999997,0.04108922301932993,14.87899417597627
Iraya,0.88654,Austronesian,0.10574754,0.05299011385073931,14.734681684196957
Irish,0.91829,Indo-European,0.17913438,0.05691778086674141,12.986374534357655
Isirawa,1.50504,Other,0.44172901,0.10651338407123401,9.982886181598351
Isnag,0.88654,Austronesian,0.10494955,0.051941420865230466,15.047536955678387
Italian,0.9183,Indo-European,0.14673340000000001,0.07286568950299412,10.588887654295725
Itbayat,0.88654,Austronesian,0.1061858,0.052251504003527315,14.93457872422813
Itneg_(Binongan),0,Austronesian,0,0,NA
Itonama,0,Other,0,0,NA
Iwam,0,Other,0,0,NA
Iyojwa_ja_Chorote,0,Other,0.0610266,0.09308554686671543,-0.655596943394241
Jamaican_Creole,0.91829,Indo-European,0.30498369,0.04199658243023734,14.603719505481054
Japanese,0.9183,Other,0.19374123,0.05016754010779847,14.442780499962534
Jaru,0.72193,Pama-Nyungan,0.34441073,0.07674733704768531,4.918988521587876
Javanese,0.88654,Austronesian,0.30125628,0.040624120972229866,14.407295616318507
Jicarilla,1.08496,Other,0.27165093,0.09133859337034907,8.904331017035583
Jinghpaw,0,Sino-Tibetan,0,0,NA
Jingulu,0,Other,0,0,NA
Judeo_Tat,0.91829,Indo-European,0.3086037,0.04416987217230448,13.8032163104671
Jurúna,1.32486,Tupian,0.81751585,0.12359967957915413,4.104736773812532
Kadai,0,Austronesian,0.02495798,0.04003209397805551,-0.6234492758155813
Kadar,0,Dravidian,0,0,NA
