language,family,code,average_edit_distance,sample_mean,sd,z
Anuta,Austronesian,anut1237,8.195652173913043,7.327217391304348,0.4057861990962669,-2.1401289263725585
Araki,Austronesian,arak1252,8.236842105263158,8.173447368421053,0.22831581372690413,-0.27766248779391545
Aria_(Mouk-Aria),Austronesian,mouk1240a,5.571428571428571,5.571428571428571,0.0,0.0
Arosi,Austronesian,aros1241,7.214285714285714,7.694785714285715,0.18595106126327982,2.584013216895179
Asera,Austronesian,aser1237,2.7857142857142856,2.7857142857142856,0.0,0.0
Atayal,Austronesian,atay1247,6.5,6.5,0.0,0.0
Atchin,Austronesian,atch1238,9.214285714285714,11.033071428571429,0.47909949607933217,3.796258875598044
Atoni_(Uab_Meto),Austronesian,uabm1237,4.5,5.46564705882353,0.3051481820212035,3.16451847239395
Atta,Austronesian,atta1244,9.071428571428571,9.071428571428571,0.0,0.0
Avava_(Bangasa_Dialect),Austronesian,katb1237,7.933333333333334,8.643566666666667,0.35351760639516205,2.009046566522161
Avava_(Niviar_Dialect),Austronesian,katb1237b,4.076923076923077,5.171846153846154,0.31241319493778613,3.5047273760031805
Avava,Austronesian,katb1237a,3.8,3.8,0.0,0.0
Ayiwo,Austronesian,ayiw1239,5.978260869565218,5.878913043478261,0.09929325387747895,-1.0005496064168196
Bacanese_Malay_(Bacan),Austronesian,baca1243,9.11111111111111,8.239583333333334,0.3025904594339706,-2.8802222628171
Bahonsuai,Austronesian,baho1237,2.357142857142857,2.357142857142857,0.0,0.0
Balaesang,Austronesian,bala1314,3.7857142857142856,3.7857142857142856,0.0,0.0
Balangao,Austronesian,bala1310,15.214285714285714,15.214285714285714,0.0,0.0
Balinese,Austronesian,bali1278,4.913043478260869,5.143826086956522,0.09066008706974285,2.5455811499289265
Banjar,Austronesian,banj1239,13.0,16.408195652173912,0.5606683298553224,6.078808933355268
Bannoni,Austronesian,bann1247,8.478260869565217,9.222,0.1220852892912969,6.091963534281453
Barabet_(Hano),Austronesian,hano1246a,5.565217391304348,5.560282608695652,0.03257764258168364,-0.15147758455273058
Bario_Kelabit,Austronesian,bari1288,8.478260869565217,9.228913043478261,0.1180989392744765,6.356129686892753
Barok_(Karu),Austronesian,baro1253,5.866666666666666,5.9538,0.08501966772138679,1.0248609018194912
Batak_Toba,Austronesian,bata1289,6.543478260869565,6.659565217391305,0.17225182578259157,0.6739374517182707
Biak,Austronesian,biak1248,9.0,9.0,0.0,0.0
Bierebo,Austronesian,bier1244,2.5,2.5,0.0,0.0
Big_Nambas,Austronesian,bign1238,8.615384615384615,9.4795,0.43032616825433384,2.0080474959744268
Big_Nambas,Austronesian,bign1238a,4.833333333333333,4.833333333333333,0.0,0.0
Bilibil,Austronesian,bilb1241,6.804347826086956,6.957739130434782,0.17754570960949712,0.8639538780475327
Binukid_(Talaandig-Binukid),Austronesian,binu1244,23.41304347826087,23.91113043478261,0.21871929326092032,2.2772886154471434
Boano_(Sulawesi),Austronesian,boan1243,8.5,9.927233333333334,0.24056321551862556,5.932882673921651
Bontok,Austronesian,bont1247,9.456521739130435,7.843826086956522,0.3244559929344601,-4.970460362246035
Brooke's_Point_Palawano,Austronesian,broo1239,12.166666666666666,8.370833333333334,0.6638741773618043,-5.717699923828554
Brunei-Sabah_Malay_(Malay),Austronesian,saba1263,14.695652173913043,11.996304347826086,0.442285814270829,-6.103175229658258
Buhid,Austronesian,buhi1245,6.826086956521739,6.703260869565217,0.1342726144644117,-0.9147515853955188
Bukat,Austronesian,buka1261,2.847826086956522,3.096695652173913,0.04075614935458262,6.106307125636447
Buli,Austronesian,buli1256,7.090909090909091,7.001704545454546,0.07581002484156071,-1.1766853478940065
Bungku,Austronesian,bung1269,5.978260869565218,6.237652173913044,0.06765397987509676,3.834087881107896
Bunun,Austronesian,bunu1267,6.75,7.9315,0.3408085429723894,3.4667558204247215
Buru_(Indonesia),Austronesian,buru1303,2.7857142857142856,2.7857142857142856,0.0,0.0
Butmas-Tur,Austronesian,butm1237,5.444444444444445,5.352333333333333,0.2445227678081719,-0.3766974827610844
Bwaidoga,Austronesian,bwai1243,4.375,4.375,0.0,0.0
Casiguran_Dumagat_Agta,Austronesian,casi1235,4.630434782608695,4.756760869565217,0.047777193926635625,2.6440666890253537
Cebuano,Austronesian,cebu1242,14.369565217391305,13.960652173913044,0.08167091861869626,-5.006837811968139
Central_Cagayan_Agta,Austronesian,cent2084,5.978260869565218,6.174521739130435,0.09154975031158157,2.1437619315974117
Central_Melanau,Austronesian,cent2101,6.391304347826087,7.427739130434783,0.17326857567084977,5.9816661999782506
Central_Sama,Austronesian,cent2092,4.1521739130434785,4.215108695652174,0.02599080472489883,2.4214249337345373
