language,code,correlation,mean,sd,z
Dupaningan_Agat,dupa1235,-0.0667532186739037,-0.0013862731339803797,0.09502110894598884,-0.6879202554569079
Easter_Islanders,rapa1244,-0.22457883841902607,-0.00045263728037286065,0.03786334568606104,-5.91934487239892
East_Ambae_(Lolovoli),east2443,-0.10360703631028625,-0.001731916256004133,0.03792293053590487,-2.6863725617889225
East_Futuna,east2447,-0.041917346184756316,0.00011808204197020677,0.01688266903346464,-2.4898567959488136
Ellice,tuva1244,-0.1178093400008123,0.0012265121402853362,0.01745514363540657,-6.819528651694479
Emae_(Mae),emae1237,-0.474324021731952,0.0038916387959866136,0.15195808042960413,-3.147023568447063
Emau_(Emao_Island),emau1237,0.0540271773857108,-0.0001548867910793509,0.020306917723583184,2.6681579604701153
Fijian,fiji1243,-0.04355246693912536,-0.0003161546199606651,0.017072896904003963,-2.5324531953932694
Fordata,ford1242,-0.21377366196008252,0.0024446227929374007,0.11901683460914074,-1.8167033719481387
Fortsenal_(Kiai),fort1240,-0.2622758139874097,7.484882873672041e-05,0.028246325227904198,-9.28795730769868
Futuna-Aniwa,futu1245,-0.0692617906850128,-0.0003982104161470954,0.02612454233397583,-2.6359726952730704
Ga'dang,gada1258,-0.07411384005481735,0.0007103569436357491,0.017370852950472557,-4.307456704157844
Gane_(Gimán),gane1237,-0.023004050932813686,0.00010231220038917488,0.017048480572814478,-1.355332695750511
Gayo,gayo1244,-0.0832145031404378,-0.0010102606146278697,0.037871788135333144,-2.170593113587791
Gela,gela1263,-0.1487865347141416,0.0003621105067968748,0.019210696646667448,-7.763833241664969
Hanunoo,hanu1241,-0.13779151854634467,0.0005409048287801257,0.018115383087219186,-7.636185374005227
Hawaiians,hawa1245,-0.09364852556455405,-0.00040090502830838906,0.017362329744885184,-5.3706859566882565
Hiligaynon,hili1240,-0.09734591024199091,0.00043518980225539037,0.017762832557851126,-5.504814602388812
Hiw,hiww1237,-0.09581255940581027,-0.0009516790857500362,0.05473891724962702,-1.7329696144237596
Ibaloi_(Nabaloi),ibal1244,-0.14005313500508665,-0.00030476279601198775,0.01743923496774392,-8.013446258827122
Ibanag,iban1267,-0.04411151145234873,-0.00019841377061957752,0.017602041643988642,-2.4947729683804107
Iban,iban1264,-0.10358976650673779,-0.00034635579917335717,0.016887140373294886,-6.113729644293849
Ida'an,idaa1241,-0.05267785335606584,-0.0003561478169975682,0.016441421066797482,-3.18231041748143
Ifaluk_Nuclear_Woleaian_,nucl1479,-0.0956076305652089,-0.0017357809520237076,0.02274539539883729,-4.127070467105786
Ifugaw_(Ifugao),ifug1247,-0.0018886838070428617,-0.00043006764524383125,0.037162357542914505,-0.03924982854262256
Ili'uun,iliu1237,0.004211981601107061,-0.0006969291765281224,0.017230267816311914,0.28490043393219416
Ilokano,ilok1237,-0.07844205017223825,-0.00013674510474371383,0.01716430980752845,-4.562100424984697
Indonesian_Bajau,indo1317,-0.07477609430074239,0.0007619881389716283,0.01635145965305281,-4.619653782750282
Indonesian,indo1316,-0.11318172222705312,-0.00020021271577163084,0.016795472585890245,-6.726902677701159
Iraya,iray1237,-0.0949091407909439,-0.0010371945038949782,0.016917242669488314,-5.548891632107102
