language,family,code,correlation,mean,sd,z
Siwai_Motuna,Other,siwa1245,-0.19243429786660757,0.0006738480002283611,0.037453295028480264,-5.155972143972712
Sougb,Other,mani1235,-0.19398262150682663,-0.0007074979906757943,0.0362109002203029,-5.337484634192674
Southern_Coastal_Tsimshian,Other,nucl1649,-0.14952370984232988,-4.478109318105028e-05,0.023104713522474264,-6.469629177775724
Suki,Other,suki1245,-0.02788780732247691,-0.0016991018501967495,0.03779907279943422,-0.6928398908417709
Tabla,Other,tabl1243,-0.05208970723141571,-0.0008469504529330007,0.016666579208664344,-3.0745815405145334
Taiap,Other,taia1239,0.07849242694878994,-0.0033962463257472654,0.051967740633483694,1.5757597362578997
Tehuelche,Other,tehu1242,-0.09637016063592636,-0.00015077704206108999,0.016342066221393538,-5.887834640389822
Teiwa,Other,teiw1235,-0.10489386420793594,0.0003124595096530203,0.01759427479596266,-5.979577160050412
Telefol,Other,tele1256,0.025513833811933853,0.00032525198225274315,0.01656996158100838,1.5201351980532616
Tidore_(version_1),Other,tido1248,-0.10754524891676806,0.00019308344729691604,0.03739961036314321,-2.8807340856748493
Tidore_(version_2),Other,tido1248a,-0.1078694740088163,-0.0013166224845777214,0.037542651011150605,-2.838181339207803
Tidore,Other,tido1249,-0.26539447277759703,-0.0018317765859181877,0.036705128420055744,-7.180541453920312
Tlingit,Other,tlin1245,-0.11111631146933848,0.0001861384522257574,0.03660188453148533,-3.0408939688835064
Toba,Other,toba1269,-0.1129081624221756,-0.0005728378732639656,0.01700662626575809,-6.605385618139481
Tolowa,Other,tolo1259,-0.13635026544738554,0.0013137047997926613,0.03692998968784224,-3.7277012913030596
Touo,Other,touo1238,0.03300196028128218,0.0005878554279311435,0.01748508642420113,1.853814391702785
Trumai,Other,trum1247,-0.1589118150232765,0.00016133753529076633,0.04115086361866365,-3.8656090922578086
Tsafiki,Other,colo1249,0.0003016279035072079,0.0012415419246725658,0.03748122621831836,-0.025076928265116087
Tucanoan_Bará,Other,waim1255,-0.021396064986992886,-0.0007607797208572627,0.016593333363411997,-1.2435889049053916
Tucano,Other,tuca1252,0.011816709537284576,2.9157050045767795e-05,0.016136575150707225,0.7304866353082482
Tuyuca,Other,tuyu1244,-0.07322314142458163,-8.093753198298082e-06,0.018573024317697518,-3.942010004349132
Tzeltal,Other,tzel1254,-0.0010408790558979336,0.0002584099626468716,0.022896823817516572,-0.056745382193613275
Umbu-Ungu,Other,umbu1258,-0.1422856067447687,0.0009893333894526704,0.03303891281380002,-4.336551294580641
Usurufa,Other,usar1243,-0.08842885217766447,0.00015082224154764235,0.05347101219885319,-1.6565924372217495
Waffa,Other,waff1241,-0.09623584157287901,-0.0001007326270459255,0.03754030694830149,-2.5608503701961
Wailaki,Other,wail1244,-0.017595490683753878,-0.0009808158556346743,0.019214599305342164,-0.8646901537780124
Wambaya,Other,wamb1258,-0.042609391329537435,-0.00010997122268187109,0.020142075859185354,-2.109982129149545
Waorani,Other,waor1240,-0.05525178374182366,-0.0002631250271868928,0.017704461990173878,-3.1059209110763106
Wappo,Other,wapp1239,-0.014916992283493805,-4.3046694965118453e-05,0.030073712452154008,-0.49458295553608483
Wari_,Other,wari1268,,,,
Warta_Thuntai,Other,gunt1241,-0.5180858107373189,0.0018331178276088107,0.0972955910272592,-5.34370492100986
Watam,Other,wata1253,-0.10214752810042257,0.0022958971687278983,0.038071405110879045,-2.74335620040736
Wersing,Other,wers1238,-0.3323418792947351,-0.0008876226602611166,0.03699379154999864,-8.959726558076639
Western_Apache,Other,west2615,-0.05687284233631393,0.0001798263778689756,0.016383191253575635,-3.4823904470828384
Western_Pantar,Other,lamm1241,0.04292447969438472,-0.0006020513003557252,0.01702152926684648,2.5571457365771963
Wichí,Other,wich1264,-0.2829095184431095,-0.0028660797100192275,0.13792577114320217,-2.030392408988844
Wipi,Other,wipi1242,-0.2942392969259903,0.002042032255350145,0.09896193897580519,-2.9938917148114603
Xibe,Other,xibe1242,-0.0218382880553016,-0.00020626931231218848,0.01640801054755727,-1.3183815722381933
Yale,Other,kosa1249,-0.06077235183610925,-0.0006036870263005308,0.03791361175844034,-1.586993747606068
Yalic,Other,yali1257,-0.4075038217763287,0.00034719568767498245,0.038786029144394794,-10.515410483131262
Yamana,Other,yama1264,-0.07732834408176169,-0.00040733838071878645,0.01703469351037764,-4.515549731152025
Yanomámi,Other,yano1262,-0.16461410152180037,0.0011704023715475129,0.046160829492435614,-3.591454176977366
Yawa,Other,nucl1454,-0.01754486057976454,0.000597756895521751,0.016488536688110116,-1.1003170152975998
Yele_(Yélî_Dnye),Other,yele1255,-0.037790238372000226,-0.00020997038038867767,0.01673315563524398,-2.245856598169602
Yelmek,Other,yelm1242,0.015879143565189255,0.00037158913505175154,0.03842191926611699,0.40361217571484254
Yucatec_Maya,Other,yuca1254,-0.16201815599555838,3.447877877989336e-05,0.03732966851808878,-4.341121719198035
Yuki,Other,yuki1243,,,,
Yukulta_(Ganggalida),Other,gang1267a,-0.03320990761137094,0.001211783332459516,0.024712393489192325,-1.3928918280976863
Yuracare,Other,yura1255,-0.010438746181380621,-0.0005504066824732809,0.038829492433857714,-0.25466053968516766
Zuni,Other,zuni1245,0.04454797529103874,0.0010811685101552472,0.04264949030768124,1.0191635695363763
Adnyamathanha,Pama-Nyungan,adny1235,-0.05508917189831264,-0.0005963745509399073,0.02259656258302724,-2.4115525158814832
Alyawarr,Pama-Nyungan,alya1239,-0.010089143610702898,-0.0011807625551514863,0.023660133044240344,-0.3765144109246675
Arabana,Pama-Nyungan,arab1267,-0.1718382704442355,-0.0003543462496665091,0.02570121748532456,-6.672210150841554
Arabana,Pama-Nyungan,arab1267a,-0.17694088812914846,0.0008679572880487911,0.053503288285472836,-3.32332555839331
Badimaya,Pama-Nyungan,badi1246,-0.08592629559317766,-0.0012936303710196872,0.03799838285952689,-2.2272701850241767
Bandjalang,Pama-Nyungan,band1339,-0.09942511208172178,-0.0004573316618011191,0.01668792693852925,-5.930501780387286
Bindal,Pama-Nyungan,bind1236,-0.20519567041703085,0.0035268005852927115,0.12967864189786105,-1.6095362192852074
Biri,Pama-Nyungan,biri1256,-0.03195000234345784,-0.0003213312087449954,0.01901629925852012,-1.6632400818230624
Bunganditj,Pama-Nyungan,bung1264,-0.044104622561094896,0.00015231381944233628,0.016918739385193504,-2.615853071137726
Dharumbal,Pama-Nyungan,dhar1248,-0.07888091380863477,0.001712199522503183,0.03623718650158877,-2.224044444719914
Dharumbal,Pama-Nyungan,dhar1248a,-0.001108270200081119,-0.0030626061472928397,0.05343464636506709,0.036574321721147725
Dhuwal-Dhuwala_(Yolngu),Pama-Nyungan,dhuw1248,0.05204169641425687,0.0002895744071765266,0.02046893047547221,2.5283256528275664
Dhuwal,Pama-Nyungan,dhuw1249,-0.09192479866359168,-4.4673630543107355e-05,0.020226425996625524,-4.542578360031445
Diyari,Pama-Nyungan,dier1241,-0.026341604653345375,-0.000566473328378079,0.021800879194238246,-1.1822977915394992
Diyari,Pama-Nyungan,dier1241a,-0.002810689872756916,0.00017125349027549938,0.01833329532460785,-0.16265179337562433
Djambarrpuyngu,Pama-Nyungan,djam1256,-0.04986701437965435,-0.00013328106193817552,0.023239840155184637,-2.140020455632133
Djinang,Pama-Nyungan,djin1253,-0.08151664248968593,-0.0010656097992469582,0.028659947064916418,-2.807089367897742
Djinang,Pama-Nyungan,djin1253a,0.0526220215958676,0.0005941498296838388,0.029329127218224567,1.7739318111673854
Duungidjawu,Pama-Nyungan,duun1241,0.08868675749054027,-0.0006284491601331819,0.033354200833831026,2.6777798423544126
Dyirbal,Pama-Nyungan,dyir1250,-0.08721211326016351,0.0007532429062932074,0.01689569236808317,-5.206377711553733
FlindersIsland,Pama-Nyungan,flin1247,,,,
Gumatj,Pama-Nyungan,guma1253,-0.05603268920568495,-0.0001868947008473195,0.021553449513928995,-2.591037433184284
Gumbaynggir,Pama-Nyungan,kumb1268,-0.09314679243981652,-0.0002590456828747968,0.02138638935889088,-4.343311308803319
Gunya,Pama-Nyungan,guny1241,-0.1481822209261455,-0.00047803413169754226,0.03656226298669781,-4.039798817928369
Gupapuyngu,Pama-Nyungan,gupa1247,-0.093942613418858,0.0002243670106103129,0.018769385146616337,-5.017051954226871
Gurindji,Pama-Nyungan,guri1247,-0.08496290934624891,-0.0007187051707398601,0.025201047379022755,-3.3428850360256677
Guugu_Yimidhirr,Pama-Nyungan,gugu1255,-0.02703249492413789,0.0004883756754591973,0.022869581558125504,-1.203383215807855
Guugu_Yimidhirr,Pama-Nyungan,gugu1255a,-0.016074352451314382,0.0011191763056800405,0.016738115012475328,-1.0272081858787363
Jaru,Pama-Nyungan,jaru1254,-0.007363614045160782,-0.00033145830507837426,0.01890606551850075,-0.37195236275897864
Kala_Lagaw_Ya,Pama-Nyungan,kala1377,-0.06081404132567224,-0.000559321238438669,0.016524392591878597,-3.646410586785958
